"tract","Name","Household_Income_rB_gP_pall"
24027601104,"Ellicott City, MD",83928
24510120202,"Baltimore, MD",55448
24005400400,"Catonsville, MD",51464
24027601103,"West Elkridge, Elkridge, MD",49540
24005452400,"Dundalk, MD",45278
24510271501,"Mount Washington, Baltimore, MD",45226
24005451200,"Middle River, MD",41187
24005440800,"Rosedale, MD",40773
24027601201,"Elkridge, MD",39948
24510130806,"Woodberry, Baltimore, MD",38429
24510120100,"Tuscany - Canterbury, Baltimore, MD",37773
24005403100,"Gwynn Oak, Pikesville, MD",37131
24510270703,"North Harford Road, Baltimore, MD",36148
24005451300,"Middle River, MD",35709
24027601204,"Elkridge, MD",35281
24510250103,"Violetville, Baltimore, MD",34888
24510271101,"Radnor - Winston, Baltimore, MD",34801
24003750400,"Linthicum Heights, MD",34634
24005403300,"Lochearn, Pikesville, MD",34566
24005402403,"Gwynn Oak, Baltimore, MD",34158
24005430700,"Halethorpe, MD",34122
24005403201,"Gwynn Oak, Lochearn, MD",34122
24510271102,"Mid-Charles, Baltimore, MD",33862
24510272006,"Glen, Baltimore, MD",33732
24510270804,"Lake Walker, Baltimore, MD",33327
24005441102,"Rosedale, MD",33285
24510130805,"Cold Springs, Baltimore, MD",33180
24005441101,"Rosedale, MD",33135
24510272007,"Fallstaff, Baltimore, MD",32422
24510270301,"Lauraville, Baltimore, MD",32344
24005401102,"Gwynn Oak, Woodlawn, MD",32341
24005450100,"Rosedale, MD",32225
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",32202
24005440900,"Rosedale, MD",32178
24005402304,"Gwynn Oak, Baltimore, MD",32154
24005403202,"Gwynn Oak, Baltimore, MD",31993
24005401301,"Woodlawn, MD",31934
24005450900,"Essex, MD",31925
24005400702,"Baltimore, MD",31903
24510010500,"Upper Fells Point, Baltimore, MD",31819
24005421102,"Dundalk, MD",31764
24005400701,"Catonsville, MD",31599
24005430400,"Halethorpe, MD",31470
24005440702,"Rosedale, MD",31461
24005440400,"Baltimore, MD",31414
24005420301,"Dundalk, MD",31317
24005492300,"Essex, MD",31209
24005402303,"Windsor Mill, Baltimore, MD",31031
24510270903,"Hillen, Baltimore, MD",30958
24510270803,"Loch Raven, Baltimore, MD",30921
24005402404,"Gwynn Oak, Lochearn, MD",30886
24510270902,"Perring Loch, Baltimore, MD",30798
24003750201,"Brooklyn, Baltimore, MD",30749
24510270802,"Ramblewood, Baltimore, MD",30672
24005451701,"Middle River, MD",30587
24510280403,"Westgate, Baltimore, MD",30401
24005400100,"Catonsville, MD",30264
24510270302,"Waltherson, Baltimore, MD",30201
24003751200,"Linthicum Heights, MD",30145
24005430900,"Baltimore, MD",30132
24510272003,"Baltimore, MD",30106
24005401101,"Woodlawn, MD",30085
24510130700,"Hampden, Baltimore, MD",30074
24005402307,"Pikesville, MD",30052
24005400900,"Catonsville, MD",29990
24005402405,"Gwynn Oak, Baltimore, MD",29869
24005401505,"Catonsville, MD",29727
24510151100,"East Arlington, Baltimore, MD",29669
24510270200,"Lauraville, Baltimore, MD",29648
24510270501,"Woodring, Baltimore, MD",29545
24510280401,"Baltimore, MD",29514
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",29476
24005401507,"Windsor Mill, Baltimore, MD",29469
24510271200,"Homeland, Baltimore, MD",29400
24510271900,"Glen, Baltimore, MD",29389
24510270502,"North Harford Road, Baltimore, MD",29313
24510270901,"New Northwood, Baltimore, MD",29297
24510260102,"Frankford, Baltimore, MD",28869
24005402407,"Windsor Mill, Milford Mill, MD",28689
24005401200,"Woodlawn, MD",28637
24510280402,"Rognel Heights, Baltimore, MD",28556
24510250206,"Morrell Park, Baltimore, MD",28400
24005400800,"Catonsville, MD",28381
24510260302,"Belair - Edison, Baltimore, MD",28209
24510270801,"Idlewood, Baltimore, MD",28180
24005420401,"Dundalk, MD",28171
24005451401,"Middle River, MD",28140
