"tract","Name","Household_Income_rH_gP_pall"
24005420500,"Baltimore, MD",58061
24005441000,"Baltimore, MD",44547
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",40177
24027601201,"Elkridge, MD",38678
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",36960
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",36508
24005451402,"Middle River, MD",36386
24005450504,"Essex, MD",35607
24510261000,"Patterson Park, Baltimore, MD",35062
24005430900,"Baltimore, MD",35053
24005450503,"Essex, MD",34695
24005420401,"Dundalk, MD",34144
24510260401,"Armistead Gardens, Baltimore, MD",33112
24005402303,"Windsor Mill, Baltimore, MD",32722
24510060100,"Patterson Park, Baltimore, MD",31550
24510010200,"Patterson Park, Baltimore, MD",30084
24510020200,"Upper Fells Point, Baltimore, MD",28722
24005401101,"Woodlawn, MD",28151
24510260404,"Baltimore Highlands, Baltimore, MD",27714
24005440701,"Rosedale, MD",27011
24510260605,"Medford - Broening, Baltimore, MD",25310
24005402307,"Pikesville, MD",25259
24510060200,"Baltimore, MD",24993
24510250500,"Curtis Bay, Baltimore, MD",24848
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",24224
24005451500,"Middle River, MD",23004
24510260604,"O'Donnell Heights, Baltimore, MD",16893
24510250402,"Brooklyn, Baltimore, MD",12288
24510280500,"Pleasant View Gardens, Baltimore, MD",
24510180300,"Hollins Market, Baltimore, MD",
24510060300,"Butchers Hill, Baltimore, MD",
24510272007,"Fallstaff, Baltimore, MD",
24510270102,"Waltherson, Baltimore, MD",
24005430600,"Relay, Halethorpe, MD",
24510130806,"Woodberry, Baltimore, MD",
24005402305,"Lochearn, Pikesville, MD",
24005492500,"Baltimore, MD",
24510180100,"Poppleton, Baltimore, MD",
24510160300,"Sandtown-Winchester, Baltimore, MD",
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510151200,"Park Circle, Baltimore, MD",
24510272003,"Baltimore, MD",
24510200800,"Irvington, Baltimore, MD",
24005451200,"Middle River, MD",
24510120201,"Baltimore, MD",
24510270502,"North Harford Road, Baltimore, MD",
24005430400,"Halethorpe, MD",
24510250103,"Violetville, Baltimore, MD",
24510270302,"Waltherson, Baltimore, MD",
24005400100,"Catonsville, MD",
24005420302,"Dundalk, MD",
24510151000,"Dorchester, Baltimore, MD",
24510260303,"Claremont - Freedom, Baltimore, MD",
24005450900,"Essex, MD",
24510150800,"Garwyn Oaks, Baltimore, MD",
24510170200,"McCulloh Homes, Baltimore, MD",
24005421200,"Dundalk, MD",
24003750201,"Brooklyn, Baltimore, MD",
24005420100,"Dundalk, MD",
24510230200,"South Baltimore, Baltimore, MD",
24510250101,"Beechfield, Baltimore, MD",
24510270402,"Glenham-Belford, Baltimore, MD",
24005401301,"Woodlawn, MD",
24510250203,"Cherry Hill, Baltimore, MD",
24510280301,"Gwynn Oak, Baltimore, MD",
24510260402,"Frankford, Baltimore, MD",
24005420800,"Dundalk, MD",
24510270903,"Hillen, Baltimore, MD",
24005421102,"Dundalk, MD",
24005420301,"Dundalk, MD",
24005402304,"Gwynn Oak, Baltimore, MD",
24510150900,"Windsor Hills, Baltimore, MD",
24510280101,"Reisterstown Station, Baltimore, MD",
24005452400,"Dundalk, MD",
