"tract","Name","Household_Income_rW_gP_pall"
24510271400,"Evergreen, Baltimore, MD",77256
24510271501,"Mount Washington, Baltimore, MD",76125
24510271102,"Mid-Charles, Baltimore, MD",75889
24510271200,"Homeland, Baltimore, MD",73540
24510271300,"Roland Park, Baltimore, MD",71260
24027601104,"Ellicott City, MD",69586
24510220100,"Baltimore, MD",68964
24005400500,"Catonsville, MD",67830
24005400400,"Catonsville, MD",67079
24005401000,"Catonsville, MD",66854
24510280403,"Westgate, Baltimore, MD",65132
24510272005,"Cross Country, Baltimore, MD",64948
24510120100,"Tuscany - Canterbury, Baltimore, MD",64484
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",63703
24005403300,"Lochearn, Pikesville, MD",61729
24003750400,"Linthicum Heights, MD",61691
24005430600,"Relay, Halethorpe, MD",60380
24005401505,"Catonsville, MD",60224
24005400900,"Catonsville, MD",60191
24005401102,"Gwynn Oak, Woodlawn, MD",60132
24510020300,"Fells Point, Baltimore, MD",59375
24510140100,"Bolton Hill, Baltimore, MD",59363
24510270703,"North Harford Road, Baltimore, MD",59165
24510280301,"Gwynn Oak, Baltimore, MD",59101
24005403402,"Pikesville, MD",57489
24005400702,"Baltimore, MD",56998
24510270802,"Ramblewood, Baltimore, MD",56441
24510120202,"Baltimore, MD",56324
24005440900,"Rosedale, MD",56147
24027601201,"Elkridge, MD",55979
24005402407,"Windsor Mill, Milford Mill, MD",55901
24005403100,"Gwynn Oak, Pikesville, MD",55875
24510271503,"Cross Keys, Baltimore, MD",55811
24005440500,"Nottingham, MD",55717
24005400200,"Catonsville, MD",55618
24005400100,"Catonsville, MD",55479
24510240200,"Riverside, Baltimore, MD",55198
24005440200,"Nottingham, MD",55165
24510270501,"Woodring, Baltimore, MD",54448
24005400800,"Catonsville, MD",54104
24510270402,"Glenham-Belford, Baltimore, MD",53945
24510120300,"Harwood, Baltimore, MD",53633
24003751200,"Linthicum Heights, MD",53527
24510272003,"Baltimore, MD",53139
24005441000,"Baltimore, MD",53089
24510270101,"Arcadia, Baltimore, MD",52885
24005451701,"Middle River, MD",52738
24005440400,"Baltimore, MD",52675
24005441101,"Rosedale, MD",52509
24005451200,"Middle River, MD",52455
24510270200,"Lauraville, Baltimore, MD",52367
24005440800,"Rosedale, MD",52265
24510270502,"North Harford Road, Baltimore, MD",52177
24005430400,"Halethorpe, MD",52157
24005440600,"Rosedale, MD",51856
24510280401,"Baltimore, MD",51731
24005441102,"Rosedale, MD",51700
24510270805,"Mid-Govans, Baltimore, MD",51556
24005401200,"Woodlawn, MD",51367
24510080101,"Belair - Edison, Baltimore, MD",51256
24510120201,"Baltimore, MD",51144
24510272007,"Fallstaff, Baltimore, MD",51105
24510030200,"Little Italy, Baltimore, MD",50547
24510272006,"Glen, Baltimore, MD",50379
24005451900,"Edgemere, MD",50300
24005402305,"Lochearn, Pikesville, MD",50254
24005401302,"Gwynn Oak, Baltimore, MD",50026
24005430700,"Halethorpe, MD",49949
24005420702,"Dundalk, MD",49720
24005440701,"Rosedale, MD",49572
24005450900,"Essex, MD",49510
24510090500,"Better Waverly, Baltimore, MD",49419
24005401101,"Woodlawn, MD",49209
24005401301,"Woodlawn, MD",49130
24003750300,"Linthicum Heights, MD",49114
24510270903,"Hillen, Baltimore, MD",48919
24005452100,"Sparrows Point, MD",48778
24005400600,"Catonsville, MD",48571
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",48459
24510270301,"Lauraville, Baltimore, MD",48382
24510271101,"Radnor - Winston, Baltimore, MD",48303
24510110100,"Downtown, Baltimore, MD",48184
24005400701,"Catonsville, MD",47960
24005440702,"Rosedale, MD",47885
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",47839
24005401507,"Windsor Mill, Baltimore, MD",47732
24510250101,"Beechfield, Baltimore, MD",47599
24005451000,"Essex, MD",47445
24005420500,"Baltimore, MD",47381
24005430800,"Halethorpe, MD",47211
24005402307,"Pikesville, MD",47209
24510270401,"Glenham-Belford, Baltimore, MD",47133
24510260102,"Frankford, Baltimore, MD",47036
24003750201,"Brooklyn, Baltimore, MD",47032
24005452400,"Dundalk, MD",46819
24005421300,"Dundalk, MD",46819
24510270102,"Waltherson, Baltimore, MD",46800
24003750202,"Brooklyn Park, MD",46456
24510270302,"Waltherson, Baltimore, MD",46335
24005420200,"Dundalk, MD",45918
24005450300,"Essex, MD",45876
24510010400,"Canton, Baltimore, MD",45870
24510250102,"Yale Heights, Baltimore, MD",45847
24510260201,"Frankford, Baltimore, MD",45743
24510260301,"Belair - Edison, Baltimore, MD",45600
24005420900,"Dundalk, MD",45361
24005450100,"Rosedale, MD",45318
24005452000,"Sparrows Point, MD",44931
24005420701,"Dundalk, MD",44592
24005420303,"Dundalk, MD",44291
24005402405,"Gwynn Oak, Baltimore, MD",44285
24005420600,"Baltimore, MD",44246
24005451100,"Essex, MD",44174
24005420100,"Dundalk, MD",44108
24510271900,"Glen, Baltimore, MD",43959
24510240100,"Locust Point, Baltimore, MD",43820
24510260101,"Cedmont, Baltimore, MD",43620
24005421200,"Dundalk, MD",43599
24005450400,"Essex, MD",43405
24510250103,"Violetville, Baltimore, MD",43279
24510200800,"Irvington, Baltimore, MD",43169
24005403201,"Gwynn Oak, Lochearn, MD",42948
24005402404,"Gwynn Oak, Lochearn, MD",42842
24005420800,"Dundalk, MD",42823
24005430900,"Baltimore, MD",42813
24510260302,"Belair - Edison, Baltimore, MD",42650
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",42370
24510040100,"Downtown, Baltimore, MD",42341
24510010100,"Canton, Baltimore, MD",42077
24005450200,"Essex, MD",42027
24005452500,"Dundalk, MD",41470
24510070100,"Baltimore, MD",41320
24005451300,"Middle River, MD",41219
24005421102,"Dundalk, MD",41207
24510020200,"Upper Fells Point, Baltimore, MD",41078
