"tract","Name","Household_Income_rA_gP_pall"
25017339801,"Medford, MA",84756
25017350200,"Winter Hill, Somerville, MA",78148
25017341400,"Malden, MA",73335
25017351204,"Ward Two, Somerville, MA",68082
25017341700,"Malden, MA",65593
25017341500,"Malden, MA",64938
25017351404,"East Somerville, Somerville, MA",64093
25017351403,"East Somerville, Somerville, MA",63446
25017341200,"Malden, MA",62870
25017350104,"Somerville, MA",62158
25017341300,"Malden, MA",62022
25017337300,"Stoneham, MA",61194
25017337102,"Stoneham, MA",59396
25025160501,"Chelsea, MA",57862
25017341600,"Malden, MA",57104
25025170300,"Revere, MA",57001
25017342500,"Everett, MA",56628
25017341800,"Malden, MA",56280
25025160602,"Chelsea, MA",56034
25017342400,"Everett, MA",54048
25025160502,"Chelsea, MA",53346
25009205800,"Lynn, MA",52840
25025040300,"Charlestown, Boston, MA",51319
25017341102,"Malden, MA",51213
25017341101,"Malden, MA",49802
25017340100,"Medford, MA",49124
25025170702,"Revere, MA",48912
25017341902,"Malden, MA",46281
25025040801,"Charlestown, Boston, MA",39758
25025050101,"Eagle Hill, Boston, MA",39046
25025160101,"Chelsea, MA",37910
25025051101,"East Boston, Boston, MA",37810
25009207200,"Lynn, MA",34516
25017354500,"Neighborhood Nine, Cambridge, MA",
25017351100,"Spring Hill, Somerville, MA",
25017351300,"Prospect Hill, Somerville, MA",
25025160601,"Chelsea, MA",
25025170800,"Revere, MA",
25025170501,"Revere, MA",
25017350103,"Ten Hills, Somerville, MA",
25025170400,"Revere, MA",
25017336401,"Melrose, MA",
25025170502,"Revere, MA",
25017339200,"West Medford, Medford, MA",
25017339900,"Medford, MA",
25017336300,"Melrose, MA",
25017339802,"Medford, MA",
25017340000,"Medford, MA",
25025981502,"Revere, MA",
25017336402,"Melrose, MA",
25017342201,"Everett, MA",
25009208102,"Saugus, MA",
25025050901,"Eagle Hill, Boston, MA",
25025180101,"Winthrop, MA",
25017350500,"Tufts, Somerville, MA",
25017350400,"Powder House Square, Somerville, MA",
25009208400,"Saugus, MA",
25017339100,"Medford, MA",
25017342101,"Everett, MA",
25017353600,"Agassiz, Cambridge, MA",
25025170100,"Revere, MA",
25017339600,"South Medford, Medford, MA",
25025170601,"Revere, MA",
25009208101,"Saugus, MA",
25009208200,"Saugus, MA",
25017350900,"Davis Square, Somerville, MA",
25025160300,"Chelsea, MA",
25025160400,"Chelsea, MA",
25017339400,"Medford, MA",
25017354000,"Neighborhood Nine, Cambridge, MA",
25017339500,"Medford, MA",
25017342600,"Everett, MA",
25025180200,"Winthrop, MA",
25017351500,"Ward Two, Somerville, MA",
25025160200,"Chelsea, MA",
25017339700,"South Medford, Medford, MA",
25017342300,"Everett, MA",
25025051000,"East Boston, Boston, MA",
25017350300,"Magoun Square, Somerville, MA",
25025170701,"Revere, MA",
25025040600,"Charlestown, Boston, MA",
25017342202,"Everett, MA",
25017338500,"Winchester, MA",
25017342102,"Everett, MA",
25017354700,"North Cambridge, Cambridge, MA",
25017350600,"Tufts, Somerville, MA",
25017351000,"Spring Hill, Somerville, MA",
25025170200,"Revere, MA",
25025180400,"Winthrop, MA",
25017341901,"Malden, MA",
