"tract","Name","Household_Income_rB_gP_pall"
25017341300,"Malden, MA",57917
25017339400,"Medford, MA",57563
25017339900,"Medford, MA",52383
25017339500,"Medford, MA",49123
25025170100,"Revere, MA",48704
25017351204,"Ward Two, Somerville, MA",48589
25017342300,"Everett, MA",47685
25017339700,"South Medford, Medford, MA",47469
25017341200,"Malden, MA",47377
25017340000,"Medford, MA",46796
25017351500,"Ward Two, Somerville, MA",44661
25017341101,"Malden, MA",43303
25025160601,"Chelsea, MA",43228
25017339600,"South Medford, Medford, MA",42256
25017351403,"East Somerville, Somerville, MA",41556
25017340100,"Medford, MA",41383
25017341800,"Malden, MA",41164
25025160501,"Chelsea, MA",40811
25017339802,"Medford, MA",40716
25025160602,"Chelsea, MA",40596
25017341400,"Malden, MA",39762
25017342201,"Everett, MA",39552
25017350300,"Magoun Square, Somerville, MA",39024
25017342101,"Everett, MA",38935
25017342600,"Everett, MA",38858
25017342500,"Everett, MA",38588
25017351404,"East Somerville, Somerville, MA",38124
25017350400,"Powder House Square, Somerville, MA",38022
25017351000,"Spring Hill, Somerville, MA",37620
25017351100,"Spring Hill, Somerville, MA",36850
25017341500,"Malden, MA",36829
25017350104,"Somerville, MA",36329
25017341902,"Malden, MA",36024
25017341700,"Malden, MA",35361
25017341102,"Malden, MA",34672
25017341600,"Malden, MA",34143
25017342202,"Everett, MA",33805
25017350200,"Winter Hill, Somerville, MA",33693
25017342400,"Everett, MA",33592
25017354700,"North Cambridge, Cambridge, MA",31252
25025050101,"Eagle Hill, Boston, MA",31084
25009207200,"Lynn, MA",30649
25017351300,"Prospect Hill, Somerville, MA",30611
25025170702,"Revere, MA",30585
25025160502,"Chelsea, MA",30440
25025160101,"Chelsea, MA",29697
25025160200,"Chelsea, MA",28638
25009205800,"Lynn, MA",27146
25025051101,"East Boston, Boston, MA",27140
25025170400,"Revere, MA",23860
25025040801,"Charlestown, Boston, MA",21423
25017354500,"Neighborhood Nine, Cambridge, MA",
25025170800,"Revere, MA",
25025170501,"Revere, MA",
25017350103,"Ten Hills, Somerville, MA",
25017336401,"Melrose, MA",
25025170502,"Revere, MA",
25017339200,"West Medford, Medford, MA",
25025170300,"Revere, MA",
25017336300,"Melrose, MA",
25025981502,"Revere, MA",
25017336402,"Melrose, MA",
25009208102,"Saugus, MA",
25025050901,"Eagle Hill, Boston, MA",
25025180101,"Winthrop, MA",
25017350500,"Tufts, Somerville, MA",
25009208400,"Saugus, MA",
25025040300,"Charlestown, Boston, MA",
25017339100,"Medford, MA",
25017337102,"Stoneham, MA",
25017353600,"Agassiz, Cambridge, MA",
25025170601,"Revere, MA",
25009208101,"Saugus, MA",
25009208200,"Saugus, MA",
25017350900,"Davis Square, Somerville, MA",
25025160300,"Chelsea, MA",
25025160400,"Chelsea, MA",
25017354000,"Neighborhood Nine, Cambridge, MA",
25025180200,"Winthrop, MA",
25017337300,"Stoneham, MA",
25025051000,"East Boston, Boston, MA",
25025170701,"Revere, MA",
25025040600,"Charlestown, Boston, MA",
25017338500,"Winchester, MA",
25017342102,"Everett, MA",
25017339801,"Medford, MA",
25017350600,"Tufts, Somerville, MA",
25025170200,"Revere, MA",
25025180400,"Winthrop, MA",
25017341901,"Malden, MA",
