"tract","Name","Household_Income_rH_gP_pall"
25017337300,"Stoneham, MA",53369
25017341101,"Malden, MA",53279
25017342201,"Everett, MA",52910
25025170601,"Revere, MA",52435
25017341600,"Malden, MA",52145
25017340100,"Medford, MA",51597
25017351404,"East Somerville, Somerville, MA",50900
25017350200,"Winter Hill, Somerville, MA",50091
25025180101,"Winthrop, MA",49425
25017350300,"Magoun Square, Somerville, MA",48212
25017339600,"South Medford, Medford, MA",47991
25017342202,"Everett, MA",47736
25017351000,"Spring Hill, Somerville, MA",47459
25017341102,"Malden, MA",47230
25017350400,"Powder House Square, Somerville, MA",46940
25017341800,"Malden, MA",46885
25017342400,"Everett, MA",44879
25017342101,"Everett, MA",44304
25009208200,"Saugus, MA",43807
25017342600,"Everett, MA",43667
25017341500,"Malden, MA",43118
25017342300,"Everett, MA",42877
25017341700,"Malden, MA",42793
25017341902,"Malden, MA",42607
25025160602,"Chelsea, MA",41214
25025050901,"Eagle Hill, Boston, MA",40066
25025160400,"Chelsea, MA",39998
25025040300,"Charlestown, Boston, MA",39856
25017339900,"Medford, MA",39763
25025170100,"Revere, MA",39672
25025170400,"Revere, MA",39511
25025170800,"Revere, MA",38669
25017351300,"Prospect Hill, Somerville, MA",38181
25025160502,"Chelsea, MA",37404
25025050101,"Eagle Hill, Boston, MA",36688
25017351500,"Ward Two, Somerville, MA",36531
25025170702,"Revere, MA",36399
25017341400,"Malden, MA",36300
25025160101,"Chelsea, MA",36285
25025160501,"Chelsea, MA",36193
25009207200,"Lynn, MA",35431
25025051101,"East Boston, Boston, MA",35365
25025160601,"Chelsea, MA",34972
25025160200,"Chelsea, MA",34937
25017342500,"Everett, MA",34909
25025170200,"Revere, MA",34485
25017350104,"Somerville, MA",34124
25025170502,"Revere, MA",33874
25009205800,"Lynn, MA",33652
25025051000,"East Boston, Boston, MA",33172
25017339802,"Medford, MA",32871
25017351204,"Ward Two, Somerville, MA",32755
25025170501,"Revere, MA",31469
25017341200,"Malden, MA",31310
25025160300,"Chelsea, MA",30945
25017351403,"East Somerville, Somerville, MA",30282
25025170300,"Revere, MA",28708
25017351100,"Spring Hill, Somerville, MA",28594
25025040801,"Charlestown, Boston, MA",27886
25017354500,"Neighborhood Nine, Cambridge, MA",
25017350103,"Ten Hills, Somerville, MA",
25017336401,"Melrose, MA",
25017339200,"West Medford, Medford, MA",
25017336300,"Melrose, MA",
25017340000,"Medford, MA",
25025981502,"Revere, MA",
25017336402,"Melrose, MA",
25009208102,"Saugus, MA",
25017350500,"Tufts, Somerville, MA",
25009208400,"Saugus, MA",
25017339100,"Medford, MA",
25017337102,"Stoneham, MA",
25017353600,"Agassiz, Cambridge, MA",
25009208101,"Saugus, MA",
25017350900,"Davis Square, Somerville, MA",
25017341300,"Malden, MA",
25017339400,"Medford, MA",
25017354000,"Neighborhood Nine, Cambridge, MA",
25017339500,"Medford, MA",
25025180200,"Winthrop, MA",
25017339700,"South Medford, Medford, MA",
25025170701,"Revere, MA",
25025040600,"Charlestown, Boston, MA",
25017338500,"Winchester, MA",
25017342102,"Everett, MA",
25017339801,"Medford, MA",
25017354700,"North Cambridge, Cambridge, MA",
25017350600,"Tufts, Somerville, MA",
25025180400,"Winthrop, MA",
25017341901,"Malden, MA",
