"tract","Name","Household_Income_rW_gP_pall"
25017338500,"Winchester, MA",73353
25017337102,"Stoneham, MA",71083
25017339200,"West Medford, Medford, MA",68140
25017339100,"Medford, MA",68106
25017350500,"Tufts, Somerville, MA",66885
25017354000,"Neighborhood Nine, Cambridge, MA",64954
25017336300,"Melrose, MA",63727
25017336402,"Melrose, MA",63702
25017353600,"Agassiz, Cambridge, MA",62900
25017339400,"Medford, MA",62866
25017341101,"Malden, MA",62528
25017350600,"Tufts, Somerville, MA",62205
25017339500,"Medford, MA",62090
25017341102,"Malden, MA",61267
25017340100,"Medford, MA",59661
25025170100,"Revere, MA",59011
25009208400,"Saugus, MA",58729
25017337300,"Stoneham, MA",58643
25025180400,"Winthrop, MA",57861
25017350103,"Ten Hills, Somerville, MA",57622
25025180200,"Winthrop, MA",57595
25017354500,"Neighborhood Nine, Cambridge, MA",57231
25017339600,"South Medford, Medford, MA",57171
25017342600,"Everett, MA",56062
25017340000,"Medford, MA",55996
25017339801,"Medford, MA",55894
25025180101,"Winthrop, MA",55845
25017350400,"Powder House Square, Somerville, MA",55830
25017336401,"Melrose, MA",55665
25009208102,"Saugus, MA",55170
25017339700,"South Medford, Medford, MA",54972
25025160300,"Chelsea, MA",54298
25017354700,"North Cambridge, Cambridge, MA",54283
25017339900,"Medford, MA",54190
25017341600,"Malden, MA",54172
25017351100,"Spring Hill, Somerville, MA",53804
25017341700,"Malden, MA",53326
25017350900,"Davis Square, Somerville, MA",53280
25017342101,"Everett, MA",53016
25009208101,"Saugus, MA",52565
25009208200,"Saugus, MA",52510
25025170601,"Revere, MA",51864
25017350104,"Somerville, MA",51412
25025170300,"Revere, MA",51355
25025051101,"East Boston, Boston, MA",51355
25017341400,"Malden, MA",51339
25017342202,"Everett, MA",51284
25025040600,"Charlestown, Boston, MA",50987
25017341200,"Malden, MA",50663
25017341300,"Malden, MA",50648
25017342201,"Everett, MA",50568
25017341902,"Malden, MA",50511
25025170200,"Revere, MA",50153
25017351000,"Spring Hill, Somerville, MA",50029
25017341500,"Malden, MA",49538
25017350300,"Magoun Square, Somerville, MA",49484
25025170502,"Revere, MA",49171
25025040300,"Charlestown, Boston, MA",48995
25017342500,"Everett, MA",48969
25017342300,"Everett, MA",48799
25025160602,"Chelsea, MA",48609
25017350200,"Winter Hill, Somerville, MA",48548
25025170400,"Revere, MA",48184
25017351403,"East Somerville, Somerville, MA",47841
25017339802,"Medford, MA",47593
25025170501,"Revere, MA",47337
25017351300,"Prospect Hill, Somerville, MA",47290
25017342102,"Everett, MA",46753
25017342400,"Everett, MA",46752
25025170701,"Revere, MA",46695
25025170800,"Revere, MA",46367
25017341800,"Malden, MA",46086
25017351404,"East Somerville, Somerville, MA",45946
25025170702,"Revere, MA",45713
25017351204,"Ward Two, Somerville, MA",45712
25017351500,"Ward Two, Somerville, MA",45195
25025160502,"Chelsea, MA",44219
25025160200,"Chelsea, MA",44149
25025160601,"Chelsea, MA",44145
25017341901,"Malden, MA",43776
25009205800,"Lynn, MA",43604
25025040801,"Charlestown, Boston, MA",43247
25025050901,"Eagle Hill, Boston, MA",42918
25025160400,"Chelsea, MA",42034
25025160501,"Chelsea, MA",41721
25025051000,"East Boston, Boston, MA",40985
25009207200,"Lynn, MA",39267
25025160101,"Chelsea, MA",38578
25025050101,"Eagle Hill, Boston, MA",38175
25025981502,"Revere, MA",
